2015-03-31T18:43:04.293Z - [31merror[39m: uncaughtException: Unexpected identifier date=Wed Apr 01 2015 00:13:04 GMT+0530 (India Standard Time), pid=12160, uid=null, gid=null, cwd=c:\cisco-workspace\dev-master\currency-converter, execPath=c:\Program Files\nodejs\node.exe, version=v0.10.33, argv=[c:\Program Files\nodejs\node.exe, c:\cisco-workspace\dev-master\currency-converter\app.js], rss=20668416, heapTotal=14519296, heapUsed=7660048, loadavg=[0, 0, 0], uptime=67793.9386223, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=81, file=c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js, function=, line=1, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected identifier,     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js:1:81),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2015-03-31T18:43:19.045Z - [31merror[39m: uncaughtException: Unexpected identifier date=Wed Apr 01 2015 00:13:18 GMT+0530 (India Standard Time), pid=16772, uid=null, gid=null, cwd=c:\cisco-workspace\dev-master\currency-converter, execPath=c:\Program Files\nodejs\node.exe, version=v0.10.33, argv=[c:\Program Files\nodejs\node.exe, c:\cisco-workspace\dev-master\currency-converter\app.js], rss=20656128, heapTotal=14519296, heapUsed=7660048, loadavg=[0, 0, 0], uptime=67808.6919958, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=81, file=c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js, function=, line=1, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected identifier,     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js:1:81),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2015-03-31T18:43:45.481Z - [31merror[39m: uncaughtException: Unexpected token ILLEGAL date=Wed Apr 01 2015 00:13:45 GMT+0530 (India Standard Time), pid=8888, uid=null, gid=null, cwd=c:\cisco-workspace\dev-master\currency-converter, execPath=c:\Program Files\nodejs\node.exe, version=v0.10.33, argv=[c:\Program Files\nodejs\node.exe, c:\cisco-workspace\dev-master\currency-converter\app.js], rss=20672512, heapTotal=14519296, heapUsed=7659560, loadavg=[0, 0, 0], uptime=67835.130353, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=81, file=c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js, function=, line=1, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected token ILLEGAL,     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js:1:81),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2015-03-31T19:25:08.256Z - [31merror[39m: uncaughtException: Unexpected string date=Wed Apr 01 2015 00:55:08 GMT+0530 (India Standard Time), pid=10840, uid=null, gid=null, cwd=c:\cisco-workspace\dev-master\currency-converter, execPath=c:\Program Files\nodejs\node.exe, version=v0.10.33, argv=[c:\Program Files\nodejs\node.exe, c:\cisco-workspace\dev-master\currency-converter\app.js], rss=20746240, heapTotal=14519296, heapUsed=7662976, loadavg=[0, 0, 0], uptime=70317.902125, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=81, file=c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js, function=, line=1, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected string,     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js:1:81),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2015-03-31T19:25:18.054Z - [31merror[39m: uncaughtException: Unexpected identifier date=Wed Apr 01 2015 00:55:17 GMT+0530 (India Standard Time), pid=3700, uid=null, gid=null, cwd=c:\cisco-workspace\dev-master\currency-converter, execPath=c:\Program Files\nodejs\node.exe, version=v0.10.33, argv=[c:\Program Files\nodejs\node.exe, c:\cisco-workspace\dev-master\currency-converter\app.js], rss=20750336, heapTotal=14519296, heapUsed=7662976, loadavg=[0, 0, 0], uptime=70327.70637, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=81, file=c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js, function=, line=1, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected identifier,     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js:1:81),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2015-03-31T20:03:06.913Z - [31merror[39m: uncaughtException: Unexpected token ) date=Wed Apr 01 2015 01:33:06 GMT+0530 (India Standard Time), pid=9704, uid=null, gid=null, cwd=c:\cisco-workspace\dev-master\currency-converter, execPath=c:\Program Files\nodejs\node.exe, version=v0.10.33, argv=[node, c:\cisco-workspace\dev-master\currency-converter\app.js], rss=20598784, heapTotal=14519296, heapUsed=7659384, loadavg=[0, 0, 0], uptime=72596.5639783, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=81, file=c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js, function=, line=1, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected token ),     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js:1:81),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2015-03-31T21:54:16.645Z - [31merror[39m: uncaughtException: Unexpected token : date=Wed Apr 01 2015 03:24:16 GMT+0530 (India Standard Time), pid=15552, uid=null, gid=null, cwd=c:\cisco-workspace\dev-master\currency-converter, execPath=c:\Program Files\nodejs\node.exe, version=v0.10.33, argv=[c:\Program Files\nodejs\node.exe, c:\cisco-workspace\dev-master\currency-converter\app.js], rss=20738048, heapTotal=14519296, heapUsed=7664696, loadavg=[0, 0, 0], uptime=79266.2969268, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=81, file=c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js, function=, line=1, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected token :,     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js:1:81),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2015-03-31T21:59:38.933Z - [31merror[39m: uncaughtException: Unexpected token { date=Wed Apr 01 2015 03:29:38 GMT+0530 (India Standard Time), pid=16396, uid=null, gid=null, cwd=c:\cisco-workspace\dev-master\currency-converter, execPath=c:\Program Files\nodejs\node.exe, version=v0.10.33, argv=[c:\Program Files\nodejs\node.exe, c:\cisco-workspace\dev-master\currency-converter\app.js], rss=20742144, heapTotal=14519296, heapUsed=7665792, loadavg=[0, 0, 0], uptime=79588.5768512, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=81, file=c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js, function=, line=1, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected token {,     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js:1:81),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2015-03-31T22:08:36.239Z - [31merror[39m: uncaughtException: Unexpected token : date=Wed Apr 01 2015 03:38:36 GMT+0530 (India Standard Time), pid=16044, uid=null, gid=null, cwd=c:\cisco-workspace\dev-master\currency-converter, execPath=c:\Program Files\nodejs\node.exe, version=v0.10.33, argv=[c:\Program Files\nodejs\node.exe, c:\cisco-workspace\dev-master\currency-converter\app.js], rss=20713472, heapTotal=14519296, heapUsed=7665160, loadavg=[0, 0, 0], uptime=80125.8855807, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=81, file=c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js, function=, line=1, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected token :,     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js:1:81),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2015-03-31T22:17:33.690Z - [31merror[39m: uncaughtException: Unexpected token return date=Wed Apr 01 2015 03:47:33 GMT+0530 (India Standard Time), pid=16784, uid=null, gid=null, cwd=c:\cisco-workspace\dev-master\currency-converter, execPath=c:\Program Files\nodejs\node.exe, version=v0.10.33, argv=[c:\Program Files\nodejs\node.exe, c:\cisco-workspace\dev-master\currency-converter\app.js], rss=20746240, heapTotal=14519296, heapUsed=7665672, loadavg=[0, 0, 0], uptime=80663.3393287, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=81, file=c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js, function=, line=1, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected token return,     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js:1:81),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
2015-03-31T22:17:51.754Z - [31merror[39m: uncaughtException: Unexpected token return date=Wed Apr 01 2015 03:47:51 GMT+0530 (India Standard Time), pid=16920, uid=null, gid=null, cwd=c:\cisco-workspace\dev-master\currency-converter, execPath=c:\Program Files\nodejs\node.exe, version=v0.10.33, argv=[c:\Program Files\nodejs\node.exe, c:\cisco-workspace\dev-master\currency-converter\app.js], rss=20738048, heapTotal=14519296, heapUsed=7665680, loadavg=[0, 0, 0], uptime=80681.3941213, trace=[column=25, file=module.js, function=Module._compile, line=439, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false, column=12, file=module.js, function=Function.Module._load, line=312, method=Module._load, native=false, column=17, file=module.js, function=Module.require, line=364, method=require, native=false, column=17, file=module.js, function=require, line=380, method=null, native=false, column=81, file=c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js, function=, line=1, method=null, native=false, column=26, file=module.js, function=Module._compile, line=456, method=_compile, native=false, column=10, file=module.js, function=Object.Module._extensions..js, line=474, method=Module._extensions..js, native=false, column=32, file=module.js, function=Module.load, line=356, method=load, native=false], stack=[SyntaxError: Unexpected token return,     at Module._compile (module.js:439:25),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32),     at Function.Module._load (module.js:312:12),     at Module.require (module.js:364:17),     at require (module.js:380:17),     at Object.<anonymous> (c:\cisco-workspace\dev-master\currency-converter\src\resource\requestHandler.js:1:81),     at Module._compile (module.js:456:26),     at Object.Module._extensions..js (module.js:474:10),     at Module.load (module.js:356:32)]
